,Job Title,min salary,max,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
1384,Business Data Analyst,41000.00,86000.00,"Plano, TX",-1,-1,-1,-1,-1,-1,-1,-1,-1
1385,Client Data Analyst,41000.00,86000.00,"Irving, TX","Irving, TX",5001 to 10000 employees,1947,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),"Marketing Werks, GMR Marketing, Anderson Merchandisers",-1
1386,Information Technology Specialist / Data Analyst,41000.00,86000.00,"Dallas, TX","Mobile, AL",201 to 500 employees,-1,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,-1
1387,Data Analyst,41000.00,86000.00,"Grapevine, TX","Dallas, TX",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1
1388,Data Management Analyst,41000.00,86000.00,"Dallas, TX","San Diego, CA",51 to 200 employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD),-1,-1
1389,Data Import Analyst,41000.00,86000.00,"Plano, TX","Plano, TX",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1,-1
1390,Data Analyst,41000.00,86000.00,"Dallas, TX","Towson, MD",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
1391,SAS Data Analyst III(With SOL & Tableau),41000.00,86000.00,"Dallas, TX","Farmington Hills, MI",201 to 500 employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),"Arena, HCL Technologies, PTC",-1
1392,NA Data Reporting Analyst,41000.00,86000.00,"Irving, TX","Boca Raton, FL",10000+ employees,1874,Company - Public,Security Services,Business Services,$2 to $5 billion (USD),"Vivint Smart Home, Johnson Controls",-1
1393,SAS Data Analyst,41000.00,86000.00,"Dallas, TX","Dallas, TX",5001 to 10000 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
1394,Data Analyst II,41000.00,86000.00,"Plano, TX","Warwick, United Kingdom",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
1395,Data Science- Security Analyst,41000.00,86000.00,"Dallas, TX","Flower Mound, TX",1 to 50 employees,2012,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1
1396,Direct Client Requirement - Data Reporting Analyst,41000.00,86000.00,"Dallas, TX",-1,-1,-1,-1,-1,-1,-1,-1,-1
1397,Data Management Analyst,41000.00,86000.00,"Dallas, TX","Dallas, TX",10000+ employees,1933,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),"GATX, BNSF Railway",-1
1398,Sr. Business Data Analyst - Enterprise Risk,41000.00,86000.00,"Dallas, TX","Pittsburgh, PA",1001 to 5000 employees,1967,Subsidiary or Business Segment,Lending,Finance,$500 million to $1 billion (USD),"Mortgage Connect, Amrock, Title365",-1
1399,Claims Data Analyst,41000.00,86000.00,"Irving, TX","Irving, TX",51 to 200 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD),-1,-1
